idx,date,truth,season,norros_f,linearP_f,farima_f,persist
7406,2001-11-08 10:20:00,1449129323704.0,495309510127.0625,1238191353501.7285,1242174052799.458,1264390051300.6436,1302375445756.4028
7407,2001-11-08 10:30:00,1371824103440.0,499520907911.1875,1353101983281.6304,1347448868606.6436,1396683766296.7676,1453340721488.1235
7408,2001-11-08 10:40:00,1153641731616.0,510266820527.9375,1334292132170.8955,1321366904424.88,1362489767107.4688,1382570016056.7378
7409,2001-11-08 10:50:00,1456025862456.0,535477569046.375,1218496684789.204,1209381872230.0166,1212594107861.371,1178852480134.4546
7410,2001-11-08 11:00:00,1359661841136.0,547331586125.5625,1389637052463.1152,1397922177837.9048,1421104288750.333,1467879879535.1697
7411,2001-11-08 11:10:00,1216944452936.0,570696900680.625,1362118501432.2593,1349935504127.7424,1377867604960.5376,1383027155691.0903
7412,2001-11-08 11:20:00,1145060713208.0,605597007959.625,1291068078318.9563,1286538216369.7227,1282123445027.4888,1251844560214.9692
7413,2001-11-08 11:30:00,1230609123832.0,627397355178.4375,1230891745218.162,1233496221758.0298,1207817102956.942,1166861060426.7925
7414,2001-11-08 11:40:00,1241764491832.0,659835241934.625,1288919562682.8381,1297101978945.4343,1275321569385.0952,1263047010588.2017
7415,2001-11-08 11:50:00,1160442174272.0,677166308306.75,1290884006010.5933,1293590143085.2888,1275244384878.1204,1259095558204.1165
7416,2001-11-08 12:00:00,1088831457120.0,688399478170.3125,1233782454343.5374,1236377130378.0215,1207309657972.3906,1171675344135.561
7417,2001-11-08 12:10:00,1324326072160.0,690513432632.0625,1171210649986.52,1177760166129.229,1135695766212.3008,1090945411581.7266
7418,2001-11-08 12:20:00,1344956859232.0,703004412682.875,1317537482540.158,1330834500007.0957,1316717504926.248,1336817052210.7817
7419,2001-11-08 12:30:00,1176605057192.0,709643423667.8125,1341685727577.836,1339562225173.0735,1343389162991.102,1351595870216.9304
7420,2001-11-08 12:40:00,1195216952640.0,711750937248.3125,1238091783173.941,1235451012825.4224,1215721611492.565,1178712570772.499
7421,2001-11-08 12:50:00,1335582138344.0,733636257246.625,1255772565996.6587,1263388114611.436,1238213054307.0093,1217102272638.3022
7422,2001-11-08 13:00:00,1232626970888.0,732975805946.4375,1326228671071.1338,1332732104745.0327,1325583814665.6104,1334921687043.8313
7423,2001-11-08 13:10:00,1147793339096.0,724704163470.375,1259184735089.7183,1256879222119.5251,1246332873136.1523,1224355328411.912
7424,2001-11-08 13:20:00,1206277630160.0,734210123153.25,1213989307920.3064,1217860824844.0293,1191088314167.7673,1157299298778.8604
7425,2001-11-08 13:30:00,1283331904680.0,751840551655.0,1252577823187.8552,1260323821199.8696,1238042697644.1274,1223908058661.7683
7426,2001-11-08 13:40:00,1133053604800.0,766074128839.9375,1303663238793.4507,1308288664132.07,1298384822138.6367,1297565481864.921
7427,2001-11-08 13:50:00,1261521374944.0,791543077649.375,1228165381840.901,1227149941881.591,1201469006747.6997,1158522553609.4146
